n : 39
m : 8
L0 : 96
LNP1 : 216

 A : [ (1) 107
 (2) 115
 (3) 116
 (4) 117
 (5) 117
 (6) 118
 (7) 120
 (8) 120
 (9) 130
 (10) 130
 (11) 132
 (12) 133
 (13) 135
 (14) 136
 (15) 142
 (16) 146
 (17) 148
 (18) 149
 (19) 151
 (20) 154
 (21) 154
 (22) 156
 (23) 158
 (24) 164
 (25) 165
 (26) 168
 (27) 169
 (28) 170
 (29) 175
 (30) 176
 (31) 178
 (32) 179
 (33) 183
 (34) 186
 (35) 191
 (36) 191
 (37) 193
 (38) 197
 (39) 197
] 

 D : [ (1) 121
 (2) 127
 (3) 131
 (4) 130
 (5) 143
 (6) 131
 (7) 131
 (8) 139
 (9) 152
 (10) 145
 (11) 141
 (12) 165
 (13) 148
 (14) 149
 (15) 156
 (16) 160
 (17) 161
 (18) 163
 (19) 158
 (20) 166
 (21) 164
 (22) 169
 (23) 171
 (24) 174
 (25) 173
 (26) 182
 (27) 181
 (28) 191
 (29) 202
 (30) 190
 (31) 193
 (32) 194
 (33) 198
 (34) 201
 (35) 203
 (36) 208
 (37) 206
 (38) 210
 (39) 209
] 

 P : [ (1 1) 0  (1 2) 1  (1 3) 1  (1 4) 0  (1 5) 1  (1 6) 1  (1 7) 1  (1 8) 1 
 (2 1) 0  (2 2) 1  (2 3) 1  (2 4) 0  (2 5) 1  (2 6) 1  (2 7) 1  (2 8) 1 
 (3 1) 0  (3 2) 1  (3 3) 1  (3 4) 0  (3 5) 1  (3 6) 1  (3 7) 1  (3 8) 1 
 (4 1) 1  (4 2) 1  (4 3) 1  (4 4) 0  (4 5) 1  (4 6) 1  (4 7) 1  (4 8) 1 
 (5 1) 0  (5 2) 1  (5 3) 1  (5 4) 0  (5 5) 1  (5 6) 1  (5 7) 1  (5 8) 1 
 (6 1) 0  (6 2) 1  (6 3) 1  (6 4) 0  (6 5) 1  (6 6) 1  (6 7) 1  (6 8) 1 
 (7 1) 0  (7 2) 0  (7 3) 1  (7 4) 1  (7 5) 1  (7 6) 1  (7 7) 1  (7 8) 1 
 (8 1) 0  (8 2) 1  (8 3) 1  (8 4) 0  (8 5) 1  (8 6) 1  (8 7) 1  (8 8) 1 
 (9 1) 0  (9 2) 1  (9 3) 1  (9 4) 0  (9 5) 1  (9 6) 1  (9 7) 1  (9 8) 1 
 (10 1) 0  (10 2) 1  (10 3) 1  (10 4) 0  (10 5) 1  (10 6) 1  (10 7) 1  (10 8) 1 
